,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
30,0.6004,-1.57036157,0.49285375,1.45445834,0.69636734,2.44163656,1.34676269,-2.61155664,3.76418257,1.47043963,-2.33871516,-1.93556493,1.52976266,1.64389909,3.44579911,-0.12960425,-1.36445559,-7.71459246,-1.23783251,-0.9019086,0.8301917,6.34636323,1.90956184,-0.49643259,-1.4870384,3.67816431,0.65300122,-2.8156102,-0.7005383,2.45989256,6.57759882,1.60971231,-0.17212632,2.88660159,0.65479672,0.7427604,-2.08497783,1.15795706,-2.30382648,5.08374615,-1.01136782,39.16028193,-145.45700367,-106.29672175
31,0.6204,-1.54072274,0.50673495,1.50957412,0.69182857,2.3914598,1.41948863,-2.41429941,3.51910774,1.39792791,-2.3063129,-7.09583835,1.42803036,1.64166338,3.41775265,-0.09374199,-1.44101942,-7.73245089,-1.22119362,-0.88395108,0.83369035,6.33573834,1.87965661,-0.56601732,-1.50336898,3.61743849,0.63951219,-3.26798071,-0.65049189,2.4920504,6.57365925,1.60601853,-0.2218031,2.90318671,0.61536174,0.93452627,-1.86677934,1.2937086,-2.3246595,10.27170995,-0.78919429,101.86160448,-208.15395637,-106.29235189
32,0.6404,-1.50997233,0.52052963,1.56563265,0.68769505,2.34480195,1.48787276,-2.2568175,3.32637655,1.47139605,-2.38455115,5.84841038,-1.60091145,1.64015907,3.38812304,-0.05642911,-1.5228797,-7.74995119,-1.20448517,-0.86609509,0.83714824,6.32372414,1.84943173,-0.63536224,-1.51900335,3.54686293,0.6268662,-3.80886329,-0.61808894,2.52413119,6.56872774,1.60200787,-0.2713226,2.92481015,0.57990983,1.25199611,-1.68106765,1.28403804,-2.23242462,-2.64447978,2.36205385,48.4144359,-156.31791796,-107.90348206
33,0.6604,-1.47809057,0.53424488,1.62271842,0.68388419,2.30100793,1.55278274,-2.12638601,3.16971869,1.56914137,-2.40152358,4.1544057,-0.30997828,1.63941741,3.35679734,-0.01743545,-1.61076347,-7.76709532,-1.18770795,-0.84833411,0.8405664,6.31032545,1.81890104,-0.70446644,-1.53395278,3.4639987,0.61454639,-4.51621682,-0.62327532,2.55612862,6.56280728,1.59768401,-0.32070144,2.9545126,0.54814204,1.76022236,-1.49087184,1.25065381,-2.19899018,-0.92219165,1.19537385,36.46782868,-144.37141512,-107.90358644
34,0.6804,-1.44505644,0.54788724,1.68087797,0.68041107,2.25961409,1.61483954,-2.01591205,3.03987819,1.64197245,-2.4008031,3.18424077,0.33545804,1.63947474,3.32364641,0.0235226,-1.70556989,-7.78388517,-1.17086277,-0.83066565,0.84394514,6.29554703,1.78807806,-0.77333896,-1.54823627,3.36373547,0.60124571,-5.61284306,-0.7393619,2.58803648,6.55590051,1.59305032,-0.36995667,2.99780963,0.5208111,2.67458354,-1.21288195,1.24275172,-2.18074269,0.07648452,0.67631423,38.98246133,-146.88603833,-107.903577
35,0.7004,-1.41084792,0.56146383,1.7401682,0.67731442,2.22026621,1.67451794,-1.9212907,2.93110046,1.69784096,-2.38924136,2.42122895,0.80340704,1.64037365,3.28852095,0.06678264,-1.80842668,-7.80032255,-1.15395041,-0.813088,0.8472849,6.27939332,1.75697579,-0.84199899,-1.56189039,3.23002355,0.58104843,-8.37794995,-1.60985206,2.61984858,6.54800973,1.58810845,-0.41910413,3.07103927,0.5034411,5.26977689,-0.19689996,1.25238494,-2.17078602,0.86826252,0.33706639,67.11800628,-175.02105754,-107.90305127
36,0.7204,-1.37544155,0.57498264,1.80068684,0.67464119,2.18266851,1.73219593,-1.84084182,2.8391711,1.73919567,-2.36911628,1.71579946,1.20235271,1.64216383,3.25124618,0.11271018,-1.92077272,-7.81640928,-1.13697163,-0.79559895,0.85058648,6.26186802,1.72560602,-0.91052528,-1.57501412,3.19061037,0.46304389,4.50392026,-3.20967765,2.65155876,6.53913699,1.5828575,-0.46815435,3.04667617,0.58666993,-7.77166302,1.53749827,1.2771095,-2.16679367,1.60265484,0.06936908,63.27649671,-171.17968343,-107.90318671
37,0.7404,-1.33881115,0.58845265,1.86259767,0.67244188,2.1465391,1.78817314,-1.77448821,2.76080202,1.76624236,-2.34128705,0.9750731,1.57999676,1.64490256,3.2116142,0.16171983,-2.04450286,-7.83214708,-1.11992719,-0.77819514,0.85385119,6.24297199,1.69397752,-0.9790966,-1.58778782,3.25407869,0.41823838,2.28630443,-1.68589953,2.6831608,6.52928416,1.57729458,-0.51711346,2.91634088,0.59932681,-5.70357759,0.14241114,1.31672185,-2.16785262,2.37236793,-0.1741993,38.09709987,-146.00068034,-107.90358046
38,0.7605,-1.3007348,0.60195083,1.92636429,0.67075067,2.11141992,1.84299691,-1.72241942,2.69707825,1.77720742,-2.3056234,0.07491822,1.97447308,1.64867867,3.16915635,0.21470193,-2.18270915,-7.84761372,-1.10273212,-0.7607878,0.85709589,6.22259828,1.66193625,-1.04817266,-1.6003553,3.28956523,0.38970756,1.33112137,-1.21044613,2.71480561,6.5183964,1.57139064,-0.56623265,2.81074095,0.59809084,-4.8886826,-0.20885272,1.37333244,-2.17387963,3.30156603,-0.43080194,34.57257514,-142.47616837,-107.90359322
39,0.7805,-1.26155917,0.61535357,1.99148874,0.66961731,2.0773669,1.89645541,-1.68534961,2.65221097,1.76645549,-2.26172073,-1.27829303,2.43346627,1.65353749,3.12398871,0.27204388,-2.33720428,-7.86265695,-1.08555821,-0.74354822,0.86028889,6.20094552,1.62980617,-1.11715121,-1.61261289,3.30967511,0.36834058,0.71404507,-0.94594473,2.7461721,6.50658363,1.56520772,-0.61503305,2.71816154,0.59225954,-4.40198756,-0.35561205,1.45190197,-2.18550867,4.68354421,-0.74917643,39.3782454,-147.28181938,-107.90357398
